run_name,supervision,n_orb,num_layers,geometry,seed,val_transmission,l12_transmission,l16_transmission,l12_dos,l16_dos,onsite_near,onsite_far,ci_interior_mode,ci_interior_total,onsite_abs_mean,onsite_std,saved_at_epoch
ham_ldosonly_n2_L4_nogeom_s2129768291,LDOS+T,2,4,off,2129768291,0.3959714812891824,1.5263660516437565,2.0479297896484328,0.1931326032373425,0.19710652756447605,1.5867376487937415,5.2276236632163045,0.8241953464609002,0.9003558881292735,3.464300301592055,4.332744574051883,732
ham_ldosonly_n2_L4_nogeom_s3731635825,LDOS+T,2,4,off,3731635825,0.33185859876019613,1.245251234966906,1.470618511515449,0.1501940898230186,0.1649312153311997,1.2875783608906501,3.752323965578236,0.5070188891457235,0.7070689315197958,2.673367090638653,2.8894480351465717,5516
ham_ldosonly_n2_L4_geom_s1179027592,LDOS+T,2,4,on,1179027592,0.37266094024692265,1.7434593620328882,2.516302110393859,0.15330382604972015,0.16998121801327637,1.4536087166571259,3.6478729629097946,0.5536513706518824,0.6219154167003592,2.877389446778274,2.7947706661106833,1337
ham_ldosonly_n2_L4_geom_s2129768291,LDOS+T,2,4,on,2129768291,0.3196345290967396,2.4649549882841795,2.1337352345930842,0.18158697640745913,0.18459958719160682,1.87360197959581,3.234031170375069,0.39662987885380385,0.4487311718253635,2.739073405925052,2.413397942690322,961
ham_ldosonly_n2_L4_geom_s3731635825,LDOS+T,2,4,on,3731635825,0.4806157723069191,2.0861418013825173,2.1910686222544045,0.19597092777156006,0.19110547099217712,0.8516110696162968,2.466070470653997,0.371497282254384,0.37230257474937967,1.7820854437615345,1.8677912188755672,1982
ham_tonly_n1_L2_nogeom_s1179027592,T-only,1,2,off,1179027592,0.6163787181888308,3.297533947718007,2.6145335686778246,0.9167749866848487,0.9032938161561516,2.144449237203979,2.144449237203979,0.10855197845756578,0.10861045065429545,2.0521282590888577,0.7551933069325443,205
ham_tonly_n1_L2_nogeom_s2129768291,T-only,1,2,off,2129768291,0.6149140575102398,3.29433267177871,2.6732578067050454,0.625353838478514,0.5630135950783972,2.038014359885018,2.038014359885018,0.12929157681681527,0.13110951724091172,1.99748949601885,0.6333790573109562,335
ham_tonly_n1_L2_nogeom_s3731635825,T-only,1,2,off,3731635825,0.6138657991375241,2.4219653663221457,2.5458713692367736,0.6411952104830899,0.6254932443690974,2.155003022490462,2.155003022490462,0.07791457248188711,0.07791457675111813,2.14193209992893,0.7131473170772974,271
ham_tonly_n1_L2_geom_s1179027592,T-only,1,2,on,1179027592,0.5336715493883405,2.6301265099886293,2.48348028396384,0.3190144167181812,0.28196007606374296,1.7607504734182278,1.7607504734182278,0.09868878780717996,0.09869722480187676,1.7437681034430046,0.6236997996804966,159
ham_tonly_n1_L2_geom_s2129768291,T-only,1,2,on,2129768291,0.4725813131247248,2.900973568696695,2.1087360913463185,0.4164501303956998,0.39575137829139834,1.8488625389878446,1.8488625389878446,0.4012687059643828,0.40126876625424546,1.8786454299698039,0.8602450040071863,697
